customer_id,join_date,acquisition_channel,age,loyalty_score,spend_potential,tier,is_active
C-ADV-00001,2023-11-24,Search,19,0.35,43.2,Gold,True
C-ADV-00002,2023-04-25,Social Media,65,0.21,149.98,Bronze,True
C-ADV-00003,2023-10-30,Direct,20,0.16,69.54,Bronze,True
C-ADV-00004,2023-04-22,Social Media,50,0.03,11.9,Bronze,True
C-ADV-00005,2023-11-29,Email,44,0.25,58.41,Silver,False
C-ADV-00006,2023-10-29,Referral,69,0.08,32.61,Bronze,True
C-ADV-00007,2023-12-24,Direct,39,0.2,53.87,Gold,True
C-ADV-00008,2023-04-21,Referral,24,0.13,80.59,Bronze,False
C-ADV-00009,2023-02-19,Referral,40,0.55,114.26,Gold,True
C-ADV-00010,2023-08-24,Email,25,0.4,11.21,Platinum,True
C-ADV-00011,2023-10-10,Referral,58,0.13,75.5,Gold,True
C-ADV-00012,2023-12-27,Search,20,0.17,132.65,Silver,True
C-ADV-00013,2023-02-10,Social Media,24,0.17,33.81,Platinum,True
C-ADV-00014,2023-08-21,Referral,28,0.16,22.24,Gold,True
C-ADV-00015,2023-04-18,Referral,62,0.18,78.37,Bronze,True
C-ADV-00016,2023-10-01,Social Media,28,0.22,21.75,Platinum,False
C-ADV-00017,2023-05-19,Email,32,0.31,43.83,Gold,True
C-ADV-00018,2023-04-28,Search,69,0.41,114.86,Gold,False
C-ADV-00019,2023-05-18,Search,31,0.18,136.37,Gold,True
C-ADV-00020,2023-12-02,Direct,43,0.2,65.08,Platinum,True
C-ADV-00021,2023-05-16,Social Media,33,0.19,73.41,Gold,False
C-ADV-00022,2023-10-26,Direct,41,0.68,77.13,Silver,True
C-ADV-00023,2023-09-18,Direct,23,0.29,360.03,Bronze,True
C-ADV-00024,2023-03-20,Social Media,68,0.29,10.24,Platinum,True
C-ADV-00025,2023-07-17,Direct,56,0.12,45.04,Platinum,True
C-ADV-00026,2023-10-11,Search,61,0.28,54.2,Bronze,True
C-ADV-00027,2023-11-25,Referral,25,0.36,222.03,Gold,False
C-ADV-00028,2023-03-22,Direct,18,0.13,58.96,Gold,True
C-ADV-00029,2023-09-17,Search,58,0.16,11.58,Gold,True
C-ADV-00030,2023-03-20,Referral,66,0.23,21.87,Silver,True
C-ADV-00031,2023-11-03,Referral,49,0.17,123.16,Bronze,True
C-ADV-00032,2023-07-05,Referral,33,0.06,691.71,Bronze,True
C-ADV-00033,2023-10-18,Search,23,0.24,92.01,Platinum,True
C-ADV-00034,2023-09-30,Social Media,26,0.25,184.39,Platinum,True
C-ADV-00035,2023-05-16,Email,56,0.39,352.76,Platinum,True
C-ADV-00036,2023-10-04,Social Media,63,0.27,21.02,Gold,False
C-ADV-00037,2023-12-10,Referral,46,0.54,124.22,Platinum,True
C-ADV-00038,2023-05-07,Social Media,22,0.71,25.23,Gold,True
C-ADV-00039,2023-10-29,Email,32,0.22,55.31,Silver,True
C-ADV-00040,2023-02-06,Search,32,0.66,52.75,Bronze,True
C-ADV-00041,2023-06-19,Search,50,0.1,43.66,Silver,True
