transaction_id,customer_id,date,amount,category
T-ADV-036018,C-ADV-02113,2023-01-01,159.4,Fashion
T-ADV-002779,C-ADV-00168,2023-01-03,124.1,Home
T-ADV-030716,C-ADV-01801,2023-01-07,64.45,Health
T-ADV-044904,C-ADV-02646,2023-01-07,5.03,Tech
T-ADV-048879,C-ADV-02884,2023-01-08,50.35,Grocery
T-ADV-040185,C-ADV-02361,2023-01-08,99.41,Fashion
T-ADV-050096,C-ADV-02952,2023-01-08,361.37,Health
T-ADV-027991,C-ADV-01642,2023-01-08,74.93,Home
T-ADV-019640,C-ADV-01166,2023-01-10,103.69,Home
T-ADV-002787,C-ADV-00168,2023-01-10,161.48,Tech
T-ADV-032158,C-ADV-01890,2023-01-11,260.75,Grocery
T-ADV-014751,C-ADV-00875,2023-01-11,41.26,Tech
T-ADV-025786,C-ADV-01527,2023-01-11,206.14,Fashion
T-ADV-036229,C-ADV-02124,2023-01-12,34.18,Home
T-ADV-012065,C-ADV-00719,2023-01-12,27.41,Health
T-ADV-040246,C-ADV-02363,2023-01-13,53.06,Tech
T-ADV-012131,C-ADV-00723,2023-01-13,221.65,Tech
T-ADV-001727,C-ADV-00101,2023-01-13,30.35,Grocery
T-ADV-040189,C-ADV-02361,2023-01-14,102.19,Health
T-ADV-042241,C-ADV-02484,2023-01-14,293.69,Tech
T-ADV-013596,C-ADV-00807,2023-01-14,4.68,Health
T-ADV-032324,C-ADV-01899,2023-01-14,41.38,Tech
T-ADV-048294,C-ADV-02849,2023-01-14,317.15,Home
T-ADV-020331,C-ADV-01208,2023-01-15,34.46,Tech
T-ADV-048204,C-ADV-02845,2023-01-16,7.84,Health
T-ADV-050715,C-ADV-02986,2023-01-17,178.33,Health
T-ADV-030717,C-ADV-01801,2023-01-17,55.44,Home
T-ADV-032325,C-ADV-01899,2023-01-17,27.41,Tech
T-ADV-001735,C-ADV-00101,2023-01-18,11.39,Home
T-ADV-034008,C-ADV-01999,2023-01-19,72.04,Tech
T-ADV-018553,C-ADV-01106,2023-01-20,105.22,Tech
T-ADV-019518,C-ADV-01161,2023-01-20,405.35,Grocery
T-ADV-050443,C-ADV-02972,2023-01-20,585.46,Fashion
T-ADV-044572,C-ADV-02623,2023-01-20,199.97,Tech
T-ADV-012135,C-ADV-00723,2023-01-20,459.4,Health
