customer_id,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segment
C-ADV-00001,26,18,1025.12,3,3,3,9,Loyal Customers
C-ADV-00002,108,14,2708.13,1,2,5,8,Hibernating
C-ADV-00003,37,9,812.05,2,1,3,6,Hibernating
C-ADV-00004,322,4,57.25,1,1,1,3,Hibernating
C-ADV-00005,6,16,1061.47,5,3,3,11,Loyal Customers
C-ADV-00006,18,8,345.1,3,1,1,5,Others
C-ADV-00007,37,14,941.76,2,2,3,7,Hibernating
C-ADV-00008,78,10,1031.25,1,1,3,5,Hibernating
C-ADV-00009,44,30,4931.32,2,5,5,12,At Risk (Big Spenders)
C-ADV-00010,14,23,307.09,4,4,1,9,Champions
C-ADV-00011,75,11,911.32,1,2,3,6,Hibernating
C-ADV-00012,44,9,1516.21,2,1,4,7,Hibernating
C-ADV-00013,57,11,477.46999999999997,2,2,2,6,Hibernating
C-ADV-00014,94,10,298.78,1,2,1,4,Hibernating
C-ADV-00015,3,11,1170.6100000000001,5,2,3,10,Promising (New)
C-ADV-00016,47,15,425.57,2,3,2,7,Others
C-ADV-00017,44,17,863.94,2,3,3,8,Others
C-ADV-00018,35,23,2975.96,2,4,5,11,At Risk (Big Spenders)
C-ADV-00019,31,11,1344.27,3,2,4,9,Others
C-ADV-00020,10,14,1021.12,4,2,3,9,Promising (New)
C-ADV-00021,22,11,1064.77,3,2,3,8,Others
C-ADV-00022,6,38,3336.85,5,5,5,15,Champions
C-ADV-00023,1,18,9112.67,5,3,5,13,Loyal Customers
C-ADV-00024,46,15,169.29,2,3,1,6,Others
C-ADV-00025,69,10,484.82,1,2,2,5,Hibernating
C-ADV-00026,7,19,1276.8799999999999,5,4,3,12,Champions
C-ADV-00027,46,21,5256.65,2,4,5,11,At Risk (Big Spenders)
C-ADV-00028,3,8,569.6,5,1,2,8,Promising (New)
C-ADV-00029,17,9,132.52,4,1,1,6,Promising (New)
C-ADV-00030,40,16,514.02,2,3,2,7,Others
C-ADV-00031,15,13,2039.01,4,2,4,10,Promising (New)
C-ADV-00032,45,7,5224.5199999999995,2,1,5,8,Hibernating
C-ADV-00033,29,16,1697.69,3,3,4,10,Loyal Customers
C-ADV-00034,3,15,3201.71,5,3,5,13,Loyal Customers
C-ADV-00035,67,24,10222.99,1,4,5,10,At Risk (Big Spenders)
C-ADV-00036,18,14,359.95,3,2,1,6,Others
C-ADV-00037,4,32,5023.76,5,5,5,15,Champions
