customer_id,tenure_days,avg_monthly_spend,logins_30d,support_tickets_30d,churned,risk_score,risk_tier
CUST-0001,418,215.8803399090337,22,3,1,0.42973333333333336,Medium
CUST-0002,342,207.27386180534637,23,3,0,0.42826666666666663,Medium
CUST-0003,487,363.4527406474171,29,2,0,0.23926666666666668,Low
CUST-0004,479,251.72838934279363,14,2,0,0.4908666666666667,Medium
CUST-0005,154,327.73759464076744,11,2,0,0.6058666666666667,Medium
CUST-0006,409,460.78128692243024,15,4,1,0.6082,Medium
CUST-0007,359,418.8964296403106,1,2,0,0.7315333333333333,High
CUST-0008,32,137.36521782908372,9,1,0,0.6035999999999999,Medium
CUST-0009,970,453.8190294857755,30,4,0,0.246,Low
CUST-0010,482,161.5954009053782,0,2,1,0.7236,High
CUST-0011,385,95.94355985668749,7,1,0,0.5663333333333334,Medium
CUST-0012,430,134.31199634274114,29,4,0,0.3706666666666667,Low
CUST-0013,440,338.39367158879173,19,0,0,0.29533333333333334,Low
CUST-0014,123,152.2551242101262,9,4,0,0.7654,High
CUST-0015,876,62.17965819476154,9,0,0,0.37479999999999997,Low
CUST-0016,200,229.36002903648884,25,4,0,0.48333333333333334,Medium
CUST-0017,239,330.65354515738625,3,4,1,0.8422,High
CUST-0018,844,410.8776730101083,22,4,0,0.40453333333333336,Medium
CUST-0019,760,451.5190496793735,22,4,1,0.42133333333333334,Medium
CUST-0020,993,157.13792931393175,8,3,0,0.5480666666666666,Medium
CUST-0021,718,82.46829322606601,25,0,0,0.13973333333333332,Low
CUST-0022,97,290.3814466045849,25,2,0,0.38393333333333335,Low
CUST-0023,255,493.1946970966,20,2,0,0.43566666666666665,Medium
CUST-0024,918,271.5309474549392,30,1,0,0.0764,Low
CUST-0025,909,142.64978728226808,20,4,0,0.42486666666666667,Medium
CUST-0026,894,195.35912134784115,6,1,0,0.4812,Medium
CUST-0027,135,432.12878427999726,10,4,1,0.7463333333333334,High
CUST-0028,595,264.54277898445923,13,3,1,0.5443333333333333,Medium
CUST-0029,361,441.5027191893244,26,0,0,0.19446666666666665,Low
CUST-0030,73,290.9327459859504,21,4,0,0.5754,Medium
CUST-0031,347,412.6837976833373,1,0,1,0.6139333333333333,Medium
CUST-0032,157,403.4254831143924,24,0,0,0.26859999999999995,Low
CUST-0033,644,241.21252955467557,12,2,0,0.49119999999999997,Medium
CUST-0034,358,320.68517316774034,15,3,1,0.5584,Medium
CUST-0035,719,307.41648201138,2,2,1,0.6428666666666667,Medium
CUST-0036,264,384.3950175108884,16,2,0,0.5005333333333333,Medium
CUST-0037,370,407.4155177569108,4,3,1,0.7393333333333333,High
CUST-0038,275,183.7336924136751,20,0,0,0.31166666666666665,Low
CUST-0039,352,108.62027186865733,5,2,0,0.6662666666666667,Medium
CUST-0040,112,357.2601108346936,25,3,0,0.4409333333333333,Medium
CUST-0041,918,122.70811207984376,11,1,0,0.3930666666666666,Low
CUST-0042,389,243.05046811900888,0,3,1,0.8021999999999999,High
CUST-0043,457,245.6058407426795,5,4,1,0.7652666666666668,High
CUST-0044,987,478.4907911583546,14,1,0,0.32926666666666665,Low
CUST-0045,190,163.85683722247143,19,1,0,0.4053333333333334,Medium
CUST-0046,509,327.8546790533043,6,0,0,0.49820000000000003,Medium
CUST-0047,646,410.9727529239133,7,2,0,0.5741333333333333,Medium
CUST-0048,73,330.8585756640538,25,4,0,0.5087333333333333,Medium
CUST-0049,840,128.01923970581618,10,2,0,0.4853333333333334,Medium
CUST-0050,921,71.25683576447904,10,0,0,0.34913333333333335,Low
CUST-0051,887,433.1101919005841,3,1,1,0.5326,Medium
CUST-0052,256,313.94700045631936,9,0,0,0.4988,Medium
CUST-0053,895,175.9262748580761,17,1,0,0.2976666666666667,Low
CUST-0054,941,350.7003597460277,3,1,1,0.5218,Medium
CUST-0055,176,352.38438468771983,19,1,0,0.40813333333333335,Medium
CUST-0056,40,160.07225746042303,8,4,0,0.7986666666666666,High
CUST-0057,879,413.9427586267136,26,4,0,0.33086666666666664,Low
CUST-0058,914,398.6645408367036,13,2,0,0.4205333333333333,Medium
CUST-0059,654,306.99453183624337,8,4,1,0.6758666666666667,Medium
CUST-0060,408,396.37195837636966,20,1,0,0.3450666666666667,Low
CUST-0061,361,443.70726595065327,13,0,0,0.41113333333333335,Medium
CUST-0062,161,373.37341379782094,27,0,0,0.2178,Low
CUST-0063,286,216.5930502868549,4,2,0,0.6961333333333334,Medium
CUST-0064,282,448.9184313380772,21,3,0,0.4736,Medium
CUST-0065,543,436.11723555981183,10,4,0,0.6647333333333334,Medium
CUST-0066,303,466.59184410703,30,0,0,0.13940000000000002,Low
CUST-0067,530,381.6073980251187,18,1,0,0.354,Low
CUST-0068,261,482.3337007768356,11,4,0,0.7044666666666667,High
CUST-0069,294,147.24185179687365,28,2,0,0.2945333333333333,Low
