transaction_id,date,customer_id,customer_segment,region,product_category,product_name,quantity,unit_price,discount_percent,revenue,cost,profit,payment_method
TXN-005867,2024-01-01,CUST-01719,Standard,East,Books,Fiction Novel,5,18.64,0.21,73.63,49.37,24.26,PayPal
TXN-005806,2024-01-01,CUST-00280,Premium,East,Electronics,Laptop,1,301.77,0.09,274.61,163.82,110.79,Debit Card
TXN-003427,2024-01-01,CUST-00924,Premium,Central,Home & Garden,Lamp,4,468.03,0.03,1815.96,1055.25,760.71,Credit Card
TXN-007411,2024-01-01,CUST-00914,Budget,West,Clothing,Jacket,2,54.39,0.28,78.32,31.4,46.92,Debit Card
TXN-005822,2024-01-01,CUST-01769,Budget,East,Sports,Yoga Mat,2,286.86,0.02,562.25,297.46,264.79,Cash
TXN-003438,2024-01-01,CUST-01876,Standard,East,Electronics,Tablet,3,829.13,0.06,2338.15,1103.78,1234.37,PayPal
TXN-001639,2024-01-01,CUST-00706,Standard,Central,Clothing,Dress,1,83.3,0.17,69.14,35.0,34.14,PayPal
TXN-002928,2024-01-01,CUST-01398,Premium,West,Home & Garden,Plant Pot,3,202.92,0.03,590.5,394.1,196.4,Bank Transfer
TXN-006622,2024-01-01,CUST-00503,Standard,North,Books,Tech Manual,1,32.73,0.27,23.89,11.74,12.15,Bank Transfer
TXN-008085,2024-01-01,CUST-01908,Budget,North,Home & Garden,Rug,2,390.71,0.04,750.16,477.96,272.2,Credit Card
TXN-005880,2024-01-01,CUST-01668,Premium,North,Electronics,Tablet,4,1448.02,0.1,5212.87,2754.83,2458.04,Bank Transfer
TXN-009047,2024-01-01,CUST-00670,Standard,South,Home & Garden,Table,5,449.98,0.08,2069.91,1391.63,678.28,PayPal
TXN-008784,2024-01-01,CUST-00378,Budget,East,Electronics,Smartwatch,4,1105.45,0.11,3935.4,2404.51,1530.89,Cash
TXN-006668,2024-01-01,CUST-00844,Budget,West,Clothing,Jacket,3,132.46,0.12,349.69,159.08,190.61,Cash
TXN-008768,2024-01-01,CUST-00440,Standard,South,Clothing,Sneakers,2,134.65,0.18,220.83,142.17,78.66,Bank Transfer
TXN-003839,2024-01-01,CUST-00931,Premium,Central,Electronics,Smartwatch,2,1156.72,0.01,2290.31,1148.09,1142.22,PayPal
TXN-008257,2024-01-01,CUST-00806,Budget,South,Clothing,Jeans,2,193.33,0.18,317.06,206.25,110.81,Cash
TXN-008362,2024-01-01,CUST-00941,Standard,South,Sports,Bicycle,4,236.6,0.03,918.01,637.23,280.78,Debit Card
TXN-007942,2024-01-01,CUST-01497,Premium,Central,Home & Garden,Sofa,2,114.74,0.16,192.76,96.87,95.89,Debit Card
TXN-006628,2024-01-01,CUST-01238,Standard,Central,Electronics,Smartphone,1,475.02,0.18,389.52,184.57,204.95,Bank Transfer
TXN-006961,2024-01-01,CUST-00552,Premium,Central,Home & Garden,Lamp,4,371.88,0.02,1457.77,645.64,812.13,Cash
TXN-001564,2024-01-01,CUST-01036,Budget,Central,Sports,Yoga Mat,5,154.44,0.11,687.26,368.23,319.03,Cash
TXN-002560,2024-01-01,CUST-01793,Premium,Central,Books,Tech Manual,1,25.53,0.0,25.53,14.35,11.18,PayPal
TXN-004890,2024-01-01,CUST-00390,Budget,Central,Electronics,Smartphone,1,837.87,0.07,779.22,331.17,448.05,PayPal
TXN-007567,2024-01-01,CUST-00925,Premium,North,Clothing,Jeans,5,183.65,0.01,909.07,415.19,493.88,PayPal
TXN-006365,2024-01-01,CUST-00319,Budget,East,Books,Cookbook,1,39.67,0.17,32.93,18.64,14.29,PayPal
TXN-007073,2024-01-01,CUST-01925,Budget,North,Books,Tech Manual,1,18.05,0.28,13.0,5.38,7.62,PayPal
TXN-004775,2024-01-01,CUST-00853,Premium,West,Books,Fiction Novel,4,38.19,0.0,152.76,101.6,51.16,Cash
TXN-001412,2024-01-01,CUST-01418,Standard,South,Electronics,Headphones,2,1050.78,0.27,1534.14,954.25,579.89,Cash
TXN-007612,2024-01-01,CUST-01399,Budget,South,Clothing,Sneakers,4,65.32,0.01,258.67,146.35,112.32,PayPal
TXN-008946,2024-01-02,CUST-00454,Premium,West,Clothing,T-Shirt,5,128.59,0.28,462.92,293.12,169.8,Debit Card
TXN-001182,2024-01-02,CUST-00771,Standard,West,Sports,Running Shoes,2,140.9,0.26,208.53,84.38,124.15,Cash
TXN-009721,2024-01-02,CUST-01371,Premium,East,Electronics,Tablet,5,694.58,0.27,2535.22,1565.9,969.32,Credit Card
TXN-001967,2024-01-02,CUST-00023,Budget,Central,Clothing,Sneakers,5,191.83,0.24,728.95,446.5,282.45,PayPal
TXN-004829,2024-01-02,CUST-00408,Standard,West,Clothing,Dress,5,127.09,0.0,635.45,307.9,327.55,Debit Card
TXN-009868,2024-01-02,CUST-01204,Premium,Central,Sports,Running Shoes,3,61.48,0.14,158.62,73.81,84.81,Bank Transfer
TXN-008179,2024-01-02,CUST-00692,Premium,North,Clothing,Dress,3,176.32,0.05,502.51,213.36,289.15,Bank Transfer
TXN-004621,2024-01-02,CUST-02000,Standard,West,Clothing,Dress,1,81.07,0.08,74.58,31.35,43.23,Cash
TXN-002024,2024-01-02,CUST-00288,Premium,East,Clothing,T-Shirt,3,64.81,0.29,138.05,71.85,66.2,Debit Card
TXN-001053,2024-01-02,CUST-00490,Premium,West,Books,Tech Manual,2,16.63,0.28,23.95,11.59,12.36,PayPal
TXN-004907,2024-01-02,CUST-01751,Budget,West,Electronics,Smartphone,1,359.9,0.21,284.32,197.38,86.94,Cash
TXN-002870,2024-01-02,CUST-00747,Budget,West,Books,Self-Help,3,23.17,0.23,53.52,32.5,21.02,Debit Card
TXN-001506,2024-01-02,CUST-00048,Budget,North,Clothing,Dress,1,112.91,0.08,103.88,54.21,49.67,Cash
TXN-002055,2024-01-02,CUST-01703,Premium,North,Books,Cookbook,2,19.53,0.29,27.73,14.84,12.89,PayPal
TXN-002209,2024-01-02,CUST-01416,Premium,North,Clothing,Jacket,2,186.72,0.12,328.63,219.25,109.38,PayPal
TXN-009569,2024-01-02,CUST-00311,Standard,Central,Books,Fiction Novel,4,49.28,0.15,167.55,75.97,91.58,Credit Card
TXN-004455,2024-01-02,CUST-01210,Budget,South,Clothing,Sneakers,3,166.11,0.19,403.65,257.06,146.59,Bank Transfer
TXN-005724,2024-01-02,CUST-00718,Budget,East,Sports,Dumbbells,2,383.99,0.17,637.42,315.35,322.07,PayPal
TXN-008848,2024-01-02,CUST-00879,Standard,South,Clothing,Sneakers,4,46.43,0.12,163.43,99.31,64.12,PayPal
TXN-007239,2024-01-02,CUST-00513,Premium,Central,Sports,Bicycle,1,451.96,0.08,415.8,205.21,210.59,Debit Card
TXN-005657,2024-01-02,CUST-00403,Standard,North,Electronics,Headphones,2,306.92,0.27,448.1,234.72,213.38,Debit Card
TXN-003952,2024-01-02,CUST-01308,Budget,North,Home & Garden,Plant Pot,2,111.02,0.04,213.16,101.16,112.0,PayPal
TXN-006773,2024-01-02,CUST-00188,Standard,West,Electronics,Tablet,2,435.71,0.08,801.71,329.01,472.7,Debit Card
TXN-006148,2024-01-02,CUST-01645,Standard,West,Electronics,Tablet,4,1137.64,0.24,3458.43,1630.61,1827.82,Credit Card
TXN-001263,2024-01-02,CUST-01775,Budget,North,Sports,Bicycle,5,383.91,0.16,1612.42,1083.98,528.44,Bank Transfer
TXN-003584,2024-01-02,CUST-00232,Budget,Central,Sports,Dumbbells,4,144.09,0.27,420.74,235.04,185.7,Cash
TXN-006378,2024-01-02,CUST-00257,Budget,Central,Clothing,Jeans,3,199.13,0.25,448.04,241.8,206.24,Bank Transfer
TXN-000673,2024-01-02,CUST-00328,Budget,Central,Sports,Bicycle,4,210.55,0.18,690.6,319.11,371.49,Cash
TXN-001735,2024-01-02,CUST-00293,Budget,West,Electronics,Smartwatch,4,834.31,0.19,2703.16,1609.76,1093.4,Bank Transfer
TXN-003103,2024-01-02,CUST-00888,Budget,East,Sports,Bicycle,3,332.16,0.03,966.59,403.65,562.94,Cash
TXN-003157,2024-01-02,CUST-00195,Budget,West,Books,Tech Manual,5,35.82,0.01,177.31,82.29,95.02,Bank Transfer
TXN-005095,2024-01-02,CUST-01064,Standard,North,Sports,Running Shoes,2,343.63,0.15,584.17,286.84,297.33,Credit Card
TXN-008731,2024-01-02,CUST-00109,Budget,East,Home & Garden,Rug,5,248.16,0.11,1104.31,443.47,660.84,Credit Card
TXN-003451,2024-01-02,CUST-00077,Standard,North,Books,Tech Manual,4,38.42,0.02,150.61,99.94,50.67,PayPal
TXN-006327,2024-01-02,CUST-01363,Standard,West,Sports,Bicycle,5,235.91,0.3,825.68,335.21,490.47,Cash
TXN-003636,2024-01-02,CUST-01079,Premium,Central,Electronics,Laptop,1,285.17,0.16,239.54,122.97,116.57,PayPal
TXN-008723,2024-01-02,CUST-00539,Standard,North,Home & Garden,Lamp,5,429.69,0.21,1697.28,701.75,995.53,Cash
TXN-008000,2024-01-03,CUST-00029,Standard,South,Books,Biography,4,40.77,0.21,128.83,58.54,70.29,Cash
TXN-009450,2024-01-03,CUST-00975,Standard,West,Clothing,Sneakers,3,149.77,0.14,386.41,231.89,154.52,Bank Transfer
TXN-004307,2024-01-03,CUST-01870,Standard,North,Clothing,Jacket,2,182.93,0.12,321.96,198.17,123.79,Credit Card
TXN-005088,2024-01-03,CUST-01720,Budget,West,Clothing,Jeans,4,89.26,0.04,342.76,236.29,106.47,PayPal
TXN-003984,2024-01-03,CUST-01325,Premium,Central,Electronics,Headphones,2,931.56,0.11,1658.18,974.74,683.44,Cash
TXN-001862,2024-01-03,CUST-01893,Premium,West,Clothing,Sneakers,4,90.49,0.14,311.29,173.5,137.79,Cash
TXN-007861,2024-01-03,CUST-00146,Premium,South,Clothing,T-Shirt,5,167.94,0.04,806.11,462.22,343.89,Credit Card
