record_id,date,site_id,cell_id,region,technology,availability_percent,latency_ms,throughput_mbps,call_drop_rate,handover_success_rate,traffic_volume_gb,active_users
KPI-001222,2024-01-01,SITE-0498,CELL-00881,Central,3G,94.66,110.55,15.55,0.05,97.13,989.71,2570
KPI-003241,2024-01-01,SITE-0022,CELL-00470,East,4G,97.97,20.27,101.81,1.96,97.5,656.22,9545
KPI-001804,2024-01-01,SITE-0366,CELL-01362,South,5G,99.71,1.13,918.1,1.96,97.63,248.04,1624
KPI-000188,2024-01-01,SITE-0257,CELL-01024,North,4G,97.7,25.74,71.6,2.25,97.51,771.79,5431
KPI-004709,2024-01-01,SITE-0052,CELL-00465,East,4G,95.94,25.58,96.02,0.08,97.04,347.93,3251
KPI-001791,2024-01-01,SITE-0077,CELL-00855,West,3G,90.83,193.57,14.43,0.63,97.45,628.53,388
KPI-004465,2024-01-01,SITE-0071,CELL-01904,West,3G,96.89,152.41,11.04,2.17,97.91,803.62,6116
KPI-002020,2024-01-01,SITE-0499,CELL-00166,Central,3G,92.56,155.49,14.79,0.36,95.38,223.35,8493
KPI-003107,2024-01-01,SITE-0322,CELL-00398,North,5G,97.18,7.83,729.75,0.38,97.96,714.88,5191
KPI-000290,2024-01-02,SITE-0100,CELL-01574,North,3G,92.96,90.47,19.52,1.85,95.85,105.05,169
KPI-001176,2024-01-02,SITE-0293,CELL-00636,Central,5G,97.41,1.21,398.61,2.36,97.47,177.14,3941
KPI-002193,2024-01-02,SITE-0166,CELL-00409,South,4G,98.78,36.17,32.23,0.5,95.15,647.8,8907
KPI-004293,2024-01-02,SITE-0262,CELL-00528,East,3G,96.28,160.93,14.0,2.09,95.39,689.08,4313
KPI-000557,2024-01-02,SITE-0123,CELL-01549,Central,3G,94.44,185.62,13.53,2.77,95.46,793.9,5089
KPI-000117,2024-01-02,SITE-0307,CELL-01083,Central,4G,97.54,26.83,42.25,0.81,98.47,781.71,6148
KPI-002425,2024-01-02,SITE-0206,CELL-01322,East,5G,98.4,1.45,387.58,0.19,99.55,850.97,2588
KPI-004807,2024-01-02,SITE-0088,CELL-01984,South,4G,99.01,49.45,62.88,2.27,98.79,46.46,4144
KPI-002873,2024-01-02,SITE-0111,CELL-01647,East,5G,99.64,5.7,366.55,2.88,99.82,742.97,9242
KPI-002698,2024-01-02,SITE-0478,CELL-00235,Central,3G,92.05,105.29,5.09,1.97,98.97,51.57,3920
KPI-000790,2024-01-02,SITE-0185,CELL-00066,East,4G,96.62,38.85,147.72,1.27,98.99,417.75,2406
KPI-000120,2024-01-02,SITE-0403,CELL-01750,East,3G,96.5,169.32,15.47,2.92,97.0,344.66,2442
KPI-004471,2024-01-03,SITE-0499,CELL-00121,West,3G,92.28,186.79,9.34,2.39,97.03,885.34,2027
KPI-004637,2024-01-03,SITE-0127,CELL-01761,North,3G,95.42,190.64,13.01,2.28,98.14,480.83,1160
KPI-002077,2024-01-03,SITE-0285,CELL-00864,West,4G,98.22,35.64,124.55,0.0,96.24,752.49,3784
KPI-000869,2024-01-03,SITE-0108,CELL-01850,East,5G,98.85,4.23,773.46,0.35,96.49,451.22,357
KPI-002740,2024-01-03,SITE-0175,CELL-01576,East,4G,95.22,36.98,94.9,0.91,96.16,781.65,1848
KPI-000049,2024-01-03,SITE-0186,CELL-00682,South,5G,98.02,6.17,431.91,1.54,99.71,558.15,9559
KPI-003559,2024-01-03,SITE-0077,CELL-01347,North,4G,98.32,43.01,54.69,1.69,95.6,65.59,3819
KPI-000558,2024-01-03,SITE-0087,CELL-01495,Central,4G,98.42,29.52,138.14,2.77,96.26,557.96,8098
KPI-004245,2024-01-03,SITE-0180,CELL-01764,North,4G,95.84,45.47,31.85,1.78,95.91,749.33,4918
KPI-004247,2024-01-03,SITE-0355,CELL-00692,Central,4G,96.96,36.27,118.03,0.72,96.65,213.62,6182
KPI-001877,2024-01-03,SITE-0149,CELL-01813,South,5G,97.01,6.62,648.79,0.29,96.75,400.12,8068
KPI-003225,2024-01-03,SITE-0426,CELL-01574,West,5G,97.04,2.79,786.85,1.97,95.35,992.49,1779
KPI-004882,2024-01-03,SITE-0053,CELL-01383,Central,4G,97.92,35.26,131.0,0.58,99.23,370.51,6669
KPI-000626,2024-01-03,SITE-0461,CELL-00627,East,5G,98.27,9.19,556.61,2.6,99.46,735.23,8382
KPI-003904,2024-01-04,SITE-0222,CELL-00814,East,4G,99.31,35.08,65.46,0.25,96.29,889.17,8202
KPI-002312,2024-01-04,SITE-0155,CELL-01796,North,3G,92.94,153.93,6.37,2.63,97.63,337.84,4255
KPI-000941,2024-01-04,SITE-0368,CELL-01247,North,4G,97.7,34.81,53.8,0.49,96.61,902.91,4138
KPI-004266,2024-01-04,SITE-0399,CELL-01740,South,5G,99.16,7.9,640.39,0.31,99.53,535.92,6232
KPI-000618,2024-01-04,SITE-0240,CELL-01276,North,4G,97.21,38.72,92.45,1.99,99.19,60.91,5052
KPI-004378,2024-01-04,SITE-0446,CELL-00590,West,4G,95.15,46.31,32.74,2.33,97.49,457.33,5254
KPI-000726,2024-01-04,SITE-0345,CELL-01517,South,3G,90.93,101.48,15.56,2.24,98.6,527.56,2292
KPI-001471,2024-01-04,SITE-0071,CELL-01012,East,4G,99.07,44.27,102.08,2.84,95.17,411.04,8263
KPI-000533,2024-01-04,SITE-0333,CELL-00327,East,3G,91.58,172.55,14.63,1.44,98.52,92.14,5940
KPI-003835,2024-01-04,SITE-0328,CELL-00155,East,4G,95.55,21.71,124.79,2.76,95.69,261.73,2302
KPI-002194,2024-01-04,SITE-0455,CELL-01790,West,3G,97.14,83.21,9.64,0.87,96.53,325.74,3418
KPI-000399,2024-01-04,SITE-0024,CELL-01460,North,5G,97.55,5.98,738.29,0.13,98.21,427.43,9352
KPI-004539,2024-01-04,SITE-0157,CELL-00249,East,4G,95.08,21.57,91.11,2.59,99.13,265.9,8962
KPI-003299,2024-01-04,SITE-0272,CELL-00438,East,5G,98.28,7.29,127.07,2.61,99.6,476.98,6686
KPI-003982,2024-01-04,SITE-0444,CELL-00040,West,5G,97.14,3.6,881.76,0.27,99.65,946.73,3840
KPI-002280,2024-01-04,SITE-0234,CELL-01445,East,5G,99.57,9.48,769.41,2.82,99.61,517.52,2932
KPI-001409,2024-01-05,SITE-0231,CELL-00792,North,3G,90.41,117.99,8.36,2.02,97.51,536.42,1585
KPI-000110,2024-01-05,SITE-0403,CELL-00387,West,5G,98.62,5.68,635.22,1.18,99.19,280.83,7202
KPI-001065,2024-01-05,SITE-0188,CELL-01860,Central,3G,96.17,132.86,1.95,1.44,96.23,538.97,8151
KPI-002274,2024-01-05,SITE-0324,CELL-00502,East,3G,97.29,148.06,4.5,1.0,99.05,437.93,8495
KPI-004631,2024-01-05,SITE-0035,CELL-01469,West,5G,99.9,7.4,513.19,2.03,95.29,748.83,4667
KPI-003310,2024-01-05,SITE-0284,CELL-01858,Central,5G,98.49,9.06,698.88,1.9,99.79,561.66,6081
KPI-001186,2024-01-05,SITE-0122,CELL-00319,East,4G,98.89,37.56,40.03,1.93,98.08,997.19,6900
KPI-002936,2024-01-05,SITE-0038,CELL-01772,East,5G,98.66,8.46,887.12,1.26,96.05,22.33,5272
KPI-002119,2024-01-05,SITE-0430,CELL-00974,South,3G,93.35,110.6,16.54,0.5,96.73,240.63,3902
KPI-004419,2024-01-05,SITE-0239,CELL-01348,East,5G,98.03,2.33,136.94,0.76,98.61,250.78,4451
KPI-000340,2024-01-05,SITE-0063,CELL-00300,East,3G,91.46,182.98,14.44,2.9,98.75,585.58,6935
KPI-002742,2024-01-05,SITE-0347,CELL-01689,North,4G,97.02,25.58,143.08,2.68,96.84,627.46,3115
KPI-000769,2024-01-06,SITE-0493,CELL-00456,Central,5G,97.28,3.79,913.62,2.12,99.24,770.25,2100
KPI-001636,2024-01-06,SITE-0029,CELL-01564,West,5G,98.66,4.55,426.64,0.03,97.47,274.28,4202
KPI-004309,2024-01-06,SITE-0342,CELL-01376,Central,3G,91.75,179.93,8.31,0.81,95.4,194.59,9822
KPI-000753,2024-01-06,SITE-0019,CELL-00112,Central,4G,99.25,32.33,102.84,1.69,95.03,404.79,5713
KPI-002804,2024-01-06,SITE-0340,CELL-01103,East,5G,98.18,1.47,288.68,0.02,97.76,454.84,8566
KPI-003790,2024-01-06,SITE-0189,CELL-00761,Central,3G,93.36,83.57,12.96,2.01,98.4,65.55,5658
KPI-002628,2024-01-06,SITE-0166,CELL-01741,Central,5G,99.7,8.74,778.79,1.96,99.06,108.42,3681
KPI-001746,2024-01-06,SITE-0164,CELL-00551,East,4G,97.52,40.25,73.19,0.98,95.31,732.63,4794
KPI-004790,2024-01-06,SITE-0184,CELL-01994,North,3G,91.81,86.5,3.02,2.08,96.11,597.41,3947
KPI-001009,2024-01-06,SITE-0474,CELL-00033,South,3G,97.43,87.59,11.36,1.0,95.05,398.56,9211
KPI-001248,2024-01-06,SITE-0264,CELL-00827,North,4G,95.32,41.23,114.83,1.55,98.25,19.55,3945
KPI-002685,2024-01-06,SITE-0207,CELL-00251,West,4G,95.89,24.83,79.85,3.0,99.66,88.44,1634
KPI-001768,2024-01-06,SITE-0330,CELL-00494,Central,4G,98.55,24.35,34.7,1.92,95.92,143.84,2124
KPI-004898,2024-01-06,SITE-0003,CELL-00982,Central,3G,97.64,190.18,2.95,2.45,99.39,108.17,2451
KPI-002616,2024-01-06,SITE-0218,CELL-01013,South,3G,96.42,118.53,12.31,0.49,99.78,647.06,4666
KPI-003768,2024-01-06,SITE-0063,CELL-00620,North,4G,96.96,29.41,125.84,2.01,99.89,952.67,2104
